ID,MUID,Code,Currency,Country_Name,Flag
1,4D078DFF-5007-48AD-B71F-E74EB64D638E,AfghanistanAFN,AFN,Afghanistan,True
2,262B8875-7878-4222-A23B-B9FB3FA5BA92,AlbaniaALL,ALL,Albania,True
3,236922A8-BD6C-48EE-B45F-F1490FBA0CE9,AlgeriaDZD,DZD,Algeria,True
4,CD98A6E8-EDB4-4784-B4FB-7E1DE180872E,American SamoaUSD,USD,American Samoa,True
5,DF7203F3-528F-44DA-8431-659A4298AA29,AndorraEUR,EUR,Andorra,True
6,B269EBFC-CA4B-41ED-91B7-48150422125B,AngolaAOA,AOA,Angola,True
7,BB0E9739-986A-485A-B868-0A8FF1F43C34,AnguillaXCD,XCD,Anguilla,True
8,73EAF4CB-3785-4C67-8DD5-2C1EF8ED48B0,Antigua and BarbudaXCD,XCD,Antigua and Barbuda,True
9,C6EDF785-7B8E-469B-A627-36F5169D37B4,ArgentinaARS,ARS,Argentina,True
10,8F342A26-7893-4137-975A-7499F3D5AF98,ArmeniaAMD,AMD,Armenia,True
11,4538F5FC-B471-4DA7-B108-578363A5C880,ArubaAWG,AWG,Aruba,True
12,32B358D9-856A-4BBA-A7B8-6AD7E10B48F7,AustraliaAUD,AUD,Australia,True
13,3C69BC7A-4C06-4464-A178-886BF1A2EB94,AustriaEUR,EUR,Austria,True
14,CC30F544-3F14-4EEE-A580-10DFCD06A187,AzerbaijanAZN,AZN,Azerbaijan,True
15,09321D75-B797-4DA9-B705-8227CA6A1551,BahamasBSD,BSD,Bahamas,True
16,FFF69AA8-418B-40B4-8A5C-D28898C41B14,BahrainBHD,BHD,Bahrain,True
17,3D5E1AA8-B594-4370-96E6-CCD10C40E014,BangladeshBDT,BDT,Bangladesh,True
18,1961B12E-7044-495E-AB70-EAE898A240D8,BarbadosBBD,BBD,Barbados,True
19,77E09608-AC9B-47F3-93E2-3C9F5FE8B853,BelarusBYR,BYR,Belarus,True
20,DEEB6E02-34A1-4432-B3AA-5ADFCFE11BD0,BelgiumEUR,EUR,Belgium,True
21,08FC5A79-2451-4BF7-8CA6-00D6E6D24394,BelizeBZD,BZD,Belize,True
22,8380F714-F1CD-4534-AC55-CDE9C9BE0B46,BeninXOF,XOF,Benin,True
23,0C33EC37-EC91-451F-98C6-76435128D073,BermudaBMD,BMD,Bermuda,True
